Algorithm,InputType,Size,Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
MergeSort,Sorted,1000,0.836163,1.12705,0.749711,0.635991,0.66561,0.781364,0.65987,0.903735,0.866697,1.27041,0.701192,Yes
MergeSort,Sorted,10000,7.61087,7.99082,7.2008,7.3126,10.0545,7.364,8.15975,7.15479,6.93755,7.06156,6.87241,Yes
MergeSort,Sorted,100000,78.4422,82.9438,76.0818,78.678,80.8065,75.9071,73.4544,74.4608,85.0006,80.7186,76.3702,Yes
MergeSort,Random,1000,1.13197,1.10866,0.911525,0.953696,1.15415,1.25216,1.16598,0.70844,0.899094,1.76801,1.39795,No
MergeSort,Random,10000,11.0467,11.6907,11.0082,12.2616,11.4157,10.2326,10.8447,10.0571,10.5311,11.7037,10.7212,No
MergeSort,Random,100000,103.919,116.314,111.581,110.005,110.368,116.883,106.791,111.067,83.6238,86.9018,85.6547,No
MergeSort,Reverse,1000,0.812575,0.99349,0.668386,0.650555,0.75843,0.98413,0.874063,0.654729,0.713831,1.09014,0.737996,No
MergeSort,Reverse,10000,7.63451,10.5001,8.57715,7.88031,7.45352,7.02259,7.1186,7.02758,6.98197,6.83039,6.95284,No
MergeSort,Reverse,100000,76.4793,85.3925,74.9236,75.2283,74.9807,73.1563,74.0063,79.6197,76.5708,75.9366,74.9778,No
MergeSort,Partial,1000,0.86254,0.712497,1.59621,0.772108,0.719745,0.888243,0.696707,0.817686,0.848404,0.701442,0.872348,No
MergeSort,Partial,10000,7.92895,10.4773,7.55223,7.41846,8.68043,7.28393,7.55637,7.29582,7.23314,8.06189,7.7299,No
MergeSort,Partial,100000,104.953,85.4139,83.655,80.2835,87.722,118.415,99.8589,129.818,119.673,131.541,113.148,No
