Algorithm,InputType,Size,Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
HeapSort,Sorted,1000,0.341517,0.397287,0.23435,0.321802,0.52527,0.225763,0.326373,0.338919,0.318958,0.318603,0.40784,Yes
HeapSort,Sorted,10000,4.15214,5.09722,7.62473,4.33056,3.8504,3.40222,3.46643,3.17894,3.45466,3.54038,3.57582,Yes
HeapSort,Sorted,100000,45.5294,54.9569,44.9812,49.4854,43.8548,48.9867,44.3334,38.5502,42.0995,44.5804,43.4656,Yes
HeapSort,Random,1000,0.286428,0.340264,0.253963,0.24369,0.259388,0.267156,0.232562,0.260024,0.380887,0.335995,0.290346,No
HeapSort,Random,10000,3.92052,3.71792,4.14523,4.55004,4.13118,5.25681,3.32614,3.61397,3.51079,3.47932,3.4738,No
HeapSort,Random,100000,48.6575,58.9586,54.1851,43.9743,47.9141,48.7261,46.047,44.4225,46.3719,45.8338,50.1421,No
HeapSort,Reverse,1000,0.233871,0.238062,0.207172,0.198233,0.321505,0.221703,0.220725,0.272199,0.211388,0.204882,0.242844,No
HeapSort,Reverse,10000,3.08944,3.25535,2.82879,2.94782,3.24042,3.05651,2.77039,2.82491,3.41716,3.16337,3.38966,No
HeapSort,Reverse,100000,41.9778,40.7731,36.7615,35.9376,35.8142,38.3601,37.6026,52.4669,51.9734,46.7929,43.2961,No
HeapSort,Partial,1000,0.282515,0.307569,0.248256,0.252042,0.231458,0.288432,0.250569,0.333957,0.333104,0.305068,0.274693,No
HeapSort,Partial,10000,4.02454,4.33214,4.16762,3.99051,3.90841,3.8525,3.80172,3.71506,3.91719,4.97441,3.58582,No
HeapSort,Partial,100000,50.1968,53.7178,51.7597,51.0717,57.1025,51.892,53.5611,44.771,47.1965,46.1663,44.7292,No
