Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
cocktail_shaker_sort,sorted,1000,4632,0.0027753,0.003184,0.002715,0.002926,0.002502,0.002478,0.002808,0.002812,0.002849,0.002729,0.00275,Yes
cocktail_shaker_sort,sorted,10000,12844,0.0257516,0.022955,0.024861,0.026816,0.029184,0.026772,0.025967,0.027063,0.023467,0.024305,0.026126,Yes
cocktail_shaker_sort,sorted,100000,96384,0.230837,0.255912,0.206474,0.233359,0.220394,0.219613,0.235854,0.282435,0.225838,0.219673,0.208822,Yes
cocktail_shaker_sort,random,1000,4096,3.30446,3.64223,3.47002,3.4091,3.23345,3.32429,3.4323,3.32102,3.19977,2.98143,3.031,Yes
cocktail_shaker_sort,random,10000,9640,347.139,333.86,335.237,327.413,340.026,338.904,338.682,333.288,361.036,415.006,347.936,Yes
cocktail_shaker_sort,random,100000,62856,33583,34262.8,33513.6,33311.9,33337.2,32675,33025.4,33094.7,33364.3,34720.5,34524.4,Yes
cocktail_shaker_sort,reverse,1000,4648,4.29919,4.44491,4.49084,4.91753,4.78235,4.2102,3.99353,4.06909,4.02393,3.93038,4.12912,Yes
cocktail_shaker_sort,reverse,10000,12868,437.641,438.189,428.276,461.845,479.148,438.999,418.235,435.125,417.481,438.18,420.929,Yes
cocktail_shaker_sort,reverse,100000,96408,42454.5,43494.5,43025.2,41919.9,41442.9,41440.5,41652.8,41439.3,41366.3,46408.3,42355.9,Yes
cocktail_shaker_sort,partial,1000,4360,1.67627,1.5044,1.65162,1.47379,1.68292,1.91593,1.91212,1.69365,1.71793,1.55022,1.66017,Yes
cocktail_shaker_sort,partial,10000,10168,177.256,173.602,181.793,191.708,182.399,171.605,190.35,167.586,169.538,177.245,166.732,Yes
cocktail_shaker_sort,partial,100000,68400,17528.6,17660.6,17510.1,17851.8,17577.7,17477.2,17514.6,17240.2,17482.8,17492.8,17478.1,Yes
