Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
comb_sort,sorted,1000,4600,0.0621094,0.068981,0.060633,0.059564,0.059525,0.060257,0.071574,0.061361,0.060061,0.059521,0.059617,Yes
comb_sort,sorted,10000,12784,0.916539,0.899431,0.920385,0.927143,0.908505,0.898159,0.890531,0.87834,0.87226,0.910661,1.05997,Yes
comb_sort,sorted,100000,96380,14.0322,12.5068,12.2092,12.0903,11.9839,11.9752,13.9799,12.0299,11.9474,12.0197,29.5795,Yes
comb_sort,random,1000,4188,0.131898,0.148043,0.136414,0.123756,0.128714,0.126935,0.137963,0.126157,0.138566,0.126291,0.126144,Yes
comb_sort,random,10000,9824,1.96916,1.95359,1.92218,1.95706,2.03365,2.00964,1.9739,1.96966,1.958,1.98166,1.93224,Yes
comb_sort,random,100000,62956,28.1195,45.6689,24.3558,25.1091,24.3308,25.9623,27.9853,28.3032,29.4246,24.8544,25.2007,Yes
comb_sort,reverse,1000,4720,0.092614,0.082721,0.078851,0.076937,0.137724,0.095154,0.125787,0.082658,0.085423,0.079741,0.081144,Yes
comb_sort,reverse,10000,12904,1.12132,1.12208,1.07701,1.1764,1.23674,1.13103,1.07377,1.11774,1.07242,1.12223,1.08378,Yes
comb_sort,reverse,100000,96512,15.8632,15.16,16.4866,16.5491,14.9307,16.9066,14.2205,14.4409,16.5028,16.7077,16.7273,Yes
comb_sort,partial,1000,4420,0.128229,0.12805,0.12586,0.121264,0.125646,0.120866,0.123829,0.12291,0.125717,0.166194,0.121953,Yes
comb_sort,partial,10000,10228,1.96058,1.95567,1.91159,2.07353,1.92175,1.93464,1.93991,1.99652,1.85821,2.03855,1.97549,Yes
comb_sort,partial,100000,68464,26.9904,24.7645,24.3622,26.9788,28.8903,26.578,27.9357,28.704,28.9428,24.8089,27.9393,Yes
