Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
introsort,sorted,1000,4668,0.273419,0.288854,0.265966,0.2632,0.332323,0.264797,0.260865,0.263729,0.270791,0.262242,0.26142,Yes
introsort,sorted,10000,12852,3.75706,3.75054,3.57112,4.24462,3.88751,3.61518,3.50546,3.69959,3.74224,3.82953,3.72483,Yes
introsort,sorted,100000,96452,52.7258,45.9465,48.328,50.2863,50.2732,56.7468,52.6546,53.9688,69.6749,49.9898,49.3894,Yes
introsort,random,1000,4148,0.0898707,0.083834,0.081803,0.078051,0.077844,0.075479,0.127501,0.111153,0.100898,0.080034,0.08211,Yes
introsort,random,10000,9804,2.92426,1.25995,1.12606,1.05218,1.03997,1.05473,1.21144,19.2208,1.07292,1.11906,1.08548,Yes
introsort,random,100000,62908,226.73,13.6077,14.312,413.508,444.489,393.352,13.7028,14.3535,374.639,570.13,15.2016,Yes
introsort,reverse,1000,4744,0.214704,0.23785,0.216005,0.206015,0.199184,0.205238,0.258081,0.198363,0.222722,0.20343,0.200154,Yes
introsort,reverse,10000,12928,3.10933,3.02365,3.07796,3.20066,3.15387,3.06198,3.01803,3.17025,3.03956,3.18661,3.16074,Yes
introsort,reverse,100000,96532,39.9338,42.0888,38.7702,38.5886,43.0484,38.3789,38.852,38.4869,38.4835,43.5174,39.1236,Yes
introsort,partial,1000,4368,0.67285,1.20043,0.099107,0.772313,0.952757,1.14063,0.07667,0.679536,0.54474,0.847677,0.41464,Yes
introsort,partial,10000,10176,15.9378,16.9485,8.87442,16.3997,18.1143,23.0493,13.7186,15.9763,16.1481,8.21749,21.9309,Yes
introsort,partial,100000,68212,256.338,258.31,231.695,266.158,208.364,257.784,381.345,232.761,270.648,265.715,190.599,Yes
