Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,rebalance(avg),Stable
LibrarySort,Sorted,1000,4332,0.0701818,0.118853,0.077077,0.066148,0.092458,0.053729,0.053848,0.06206,0.057289,0.066586,0.05377,9,Yes
LibrarySort,Sorted,10000,12756,0.892085,0.852751,0.718792,0.743639,1.60953,0.741114,0.869604,0.955283,0.876784,0.714743,0.838611,13,Yes
LibrarySort,Sorted,100000,96316,8.50992,8.60939,7.5058,7.39798,7.34668,7.67179,7.27721,7.42796,7.26398,7.55234,17.0461,16,Yes
LibrarySort,Random,1000,4356,1.45511,1.32848,1.48306,1.67808,1.37185,1.74861,1.29282,1.35414,1.36653,1.5512,1.37629,9,Yes
LibrarySort,Random,10000,9688,124.069,140.544,143.17,122.048,118.914,116.506,115.68,121.58,122.753,115.815,123.683,13,Yes
LibrarySort,Random,100000,62888,11995.1,10989.5,12504.6,12225,11418.6,12429,11551.7,12348.7,12634.1,11472.7,12376.7,16,Yes
LibrarySort,Reverse,1000,4440,2.6962,2.22791,3.47839,2.36887,2.47411,2.50785,2.71011,2.6017,2.72593,2.82326,3.04387,9,Yes
LibrarySort,Reverse,10000,12804,247.157,239.967,246.575,232.738,248.134,251.288,270.081,235.657,231.278,259.407,256.445,13,Yes
LibrarySort,Reverse,100000,96364,24827.5,24168,23626.2,25298.1,24339.4,25856.8,24701.9,24274.4,26067.7,25378.5,24564.3,16,Yes
LibrarySort,Partial,1000,4232,0.866736,0.840628,0.827863,0.852168,0.815597,0.836458,1.18406,0.837534,0.835387,0.785205,0.852465,9,Yes
LibrarySort,Partial,10000,10192,66.832,77.3511,72.0329,66.889,62.7415,61.2413,68.9137,62.626,65.801,65.8262,64.897,13,Yes
LibrarySort,Partial,100000,68460,6363.72,6701.79,5633.32,6585.37,6479.04,6408.93,6603.92,5812.16,6461.74,6134.73,6816.24,16,Yes
