Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
tim_sort,sorted,1000,4696,2.23176,2.74512,2.30578,2.0723,2.22022,2.13041,2.07302,2.06825,2.08385,2.11445,2.50425,Yes
tim_sort,sorted,10000,12880,36.4673,36.7158,36.4579,36.5786,36.3686,36.9999,36.0162,35.8455,36.2126,36.4413,37.0366,Yes
tim_sort,sorted,100000,96476,574.084,558.574,662.935,547.46,560.83,565.654,571.493,572.803,562.148,568.378,570.562,Yes
tim_sort,random,1000,4356,2.4823,2.62141,2.40733,2.24425,2.75808,2.27098,2.30573,2.42082,2.39818,3.07797,2.31821,Yes
tim_sort,random,10000,9732,40.6303,43.6394,45.2762,44.1286,38.6027,38.3906,38.0525,38.4873,41.304,39.5463,38.8756,Yes
tim_sort,random,100000,62756,590.252,566.361,589.346,567.954,643.213,592.52,568.616,609.538,562.557,590.048,612.366,Yes
tim_sort,reverse,1000,4624,2.2681,2.16689,2.12554,2.30333,2.23299,2.55267,2.20982,2.08124,2.17984,2.65905,2.16968,Yes
tim_sort,reverse,10000,12808,40.7151,39.8571,40.1934,39.2666,38.8754,41.179,44.8209,37.4467,42.7697,38.8466,43.8953,Yes
tim_sort,reverse,100000,96404,570.266,542.279,569.491,584.713,562.556,563.098,575.406,555.903,568.066,552.523,628.63,Yes
tim_sort,partial,1000,4396,2.56739,3.55562,3.06066,2.43084,2.12552,2.10679,2.71344,2.51435,2.92534,2.08489,2.15643,Yes
tim_sort,partial,10000,10360,43.0107,46.2346,43.2621,41.9712,42.6551,39.0903,42.9723,44.5357,43.901,39.6608,45.8241,Yes
tim_sort,partial,100000,68444,591.582,588.25,636.024,584.857,629.343,579.702,572.426,607.392,561.887,578.073,577.87,Yes
