Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
tournament_sort2,sorted,1000,3828,0.185201,0.27788,0.208157,0.201952,0.188788,0.161303,0.17259,0.158367,0.161815,0.158696,0.162457,Yes
tournament_sort2,sorted,10000,5836,2.41279,2.51717,2.0957,2.3289,2.3059,2.6628,2.52019,2.33245,2.61231,2.42331,2.32912,Yes
tournament_sort2,sorted,100000,25164,26.1828,25.8779,26.2254,27.5586,27.3884,24.4118,24.9651,27.8341,24.4497,28.1647,24.9523,Yes
tournament_sort2,random,1000,3824,0.201517,0.217868,0.184732,0.186203,0.220787,0.205934,0.195873,0.202038,0.201779,0.195992,0.203967,No
tournament_sort2,random,10000,5180,3.18867,3.52727,2.93049,3.34258,3.12216,3.2646,3.29653,2.95897,3.55931,2.80204,3.08274,No
tournament_sort2,random,100000,17468,36.536,41.2563,32.6145,32.2214,32.8611,42.6855,38.9837,40.8157,39.4403,31.5284,32.9527,No
tournament_sort2,reverse,1000,3908,0.17722,0.204264,0.166083,0.167851,0.163975,0.163924,0.171732,0.197877,0.160546,0.161349,0.214601,Yes
tournament_sort2,reverse,10000,5816,2.61227,2.71489,2.23851,2.42202,2.56942,3.39082,2.5639,2.43828,2.75416,2.28671,2.74401,Yes
tournament_sort2,reverse,100000,25144,27.3655,28.3892,26.1175,26.6282,29.8106,28.2233,27.1869,25.5494,25.856,25.5328,30.3609,Yes
tournament_sort2,partial,1000,3904,0.197325,0.211299,0.169403,0.192537,0.221583,0.195977,0.17693,0.183164,0.232916,0.21103,0.178409,No
tournament_sort2,partial,10000,5272,2.75543,2.93105,2.56017,2.45656,3.3414,2.67006,3.13762,2.53297,2.90913,2.34422,2.67108,No
tournament_sort2,partial,100000,18600,30.2435,34.5718,28.7929,31.9996,29.0646,30.2953,33.1775,28.2043,28.038,31.2325,27.058,No
