Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
comb_sort,sorted,1000,0,0.0679008,0.094037,0.060715,0.060395,0.061573,0.061563,0.060372,0.087918,0.069276,0.062542,0.060617,Yes
comb_sort,sorted,10000,0,1.06707,0.891289,0.940359,0.986363,0.908882,0.967647,1.20603,1.04031,1.04679,1.34722,1.33581,Yes
comb_sort,sorted,100000,0,15.1878,14.5231,14.7535,14.9977,15.0457,15.2397,14.7797,15.1292,15.2181,15.8122,16.3788,Yes
comb_sort,random,1000,0,0.279916,0.222344,0.218808,0.303311,0.281982,0.26132,0.251443,0.345074,0.341502,0.265031,0.308349,No
comb_sort,random,10000,0,4.04251,5.00035,3.96169,3.91169,4.09062,3.93416,3.92276,4.53846,3.65617,3.58719,3.82203,No
comb_sort,random,100000,0,38.4797,44.683,40.4345,38.361,47.1655,41.6979,37.9127,34.5802,35.7773,31.6677,32.5173,No
comb_sort,reverse,1000,0,0.0967799,0.123822,0.093991,0.095438,0.089319,0.088437,0.090306,0.089975,0.115427,0.090186,0.090898,Yes
comb_sort,reverse,10000,0,1.38586,1.24976,1.28208,1.36396,1.31927,1.51168,1.39015,1.33158,1.51712,1.47988,1.41309,Yes
comb_sort,reverse,100000,0,18.475,18.1236,18.261,18.4886,17.8339,20.9609,18.5887,18.0283,18.7294,17.2767,18.4587,Yes
comb_sort,partial,1000,0,0.167973,0.157985,0.158366,0.166283,0.155027,0.15941,0.237536,0.163656,0.157164,0.163923,0.160379,No
comb_sort,partial,10000,0,2.7491,2.66171,2.53092,2.83532,2.80393,2.73781,2.66466,2.86001,2.762,2.88813,2.74656,No
comb_sort,partial,100000,0,33.589,34.5967,33.4883,34.9612,34.0331,34.7426,30.8344,34.7266,35.1448,31.29,32.0721,No
