Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
tim_sort,sorted,1000,20032,5.57924,4.0321,5.1888,4.00734,4.93826,4.90895,5.35752,8.5737,6.91716,7.59734,4.27126,Yes
tim_sort,sorted,10000,11344,96.9991,87.3539,89.2793,77.2384,75.9475,76.3085,192.793,116.521,84.5735,85.3223,84.6528,Yes
tim_sort,sorted,100000,6976,911.579,1054.98,965.887,937.773,1007.36,1050.37,918.562,940.035,945.262,1062.4,233.162,Yes
tim_sort,random,1000,20032,3.62771,3.62129,3.71789,3.44898,3.53408,3.91502,3.55157,3.59711,3.81679,3.53423,3.5401,Yes
tim_sort,random,10000,11344,67.2545,66.0005,68.8773,67.06,71.3074,67.5398,66.8581,66.3661,65.8918,65.7423,66.9018,Yes
tim_sort,random,100000,6976,995.949,962.953,1073.42,1046.26,961.206,943.863,1012.34,1067.53,958.405,934.815,998.705,Yes
tim_sort,reverse,1000,20032,5.19805,3.99129,5.88411,4.40826,4.4306,4.84578,6.83793,5.23124,6.40618,4.3324,5.6127,Yes
tim_sort,reverse,10000,11344,78.7412,81.8209,80.6339,75.3294,74.6335,76.0561,75.8196,79.5892,79.8178,78.8993,84.8123,Yes
tim_sort,reverse,100000,6976,1013.88,1013.02,971.822,955.021,1056.31,1052.57,957.591,1009.31,1048.14,1086.28,988.77,Yes
tim_sort,partial,1000,20032,3.99556,4.4612,4.14451,3.54858,3.67282,4.3955,4.16002,3.70594,4.46991,3.76237,3.63473,Yes
tim_sort,partial,10000,11344,67.9849,71.8749,71.3868,67.2634,67.3818,73.0727,66.3568,64.4731,66.5847,65.9527,65.5026,Yes
tim_sort,partial,100000,6976,916.495,960.499,1066.22,975.888,936.853,954.604,1049.75,353.739,934.157,938.527,994.709,Yes
