Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
tournament_sort,sorted,1000,2176,0.46947,2.7907,0.190646,0.18631,0.177932,0.210483,0.272345,0.186458,0.235149,0.204435,0.240242,Yes
tournament_sort,sorted,10000,0,2.74976,2.81805,2.54462,3.02773,2.43851,2.71732,2.78682,2.73196,2.56416,3.2399,2.62854,Yes
tournament_sort,sorted,100000,0,31.363,33.7019,29.2475,31.5573,30.8711,30.0293,29.7919,29.954,32.9514,30.3516,35.1735,Yes
tournament_sort,random,1000,2176,0.275807,0.48596,0.253992,0.241927,0.264281,0.280222,0.238666,0.251204,0.23875,0.256147,0.246918,No
tournament_sort,random,10000,0,3.76321,3.9712,3.60552,3.64825,3.68374,4.10721,4.42873,3.25954,3.75293,3.58282,3.59214,No
tournament_sort,random,100000,0,35.7246,44.3285,39.2332,35.7411,33.4243,34.5709,32.9271,32.9285,34.6823,31.8082,37.6023,No
tournament_sort,reverse,1000,2176,0.195489,0.232171,0.189954,0.188019,0.186924,0.205967,0.192728,0.189547,0.187132,0.191123,0.191328,Yes
tournament_sort,reverse,10000,0,2.61126,3.00217,2.65043,2.63669,2.42616,2.52989,2.52153,2.75555,2.49864,2.60041,2.49113,Yes
tournament_sort,reverse,100000,0,28.8482,30.3683,26.322,30.1211,29.7593,29.0542,30.6319,28.8186,27.8877,29.4456,26.0728,Yes
tournament_sort,partial,1000,2176,0.187445,0.209139,0.173831,0.248823,0.173153,0.17238,0.192279,0.171024,0.174285,0.187864,0.171674,No
tournament_sort,partial,10000,0,2.65303,2.81517,2.61451,2.46303,2.94021,2.38268,2.77204,2.59955,2.69019,2.60884,2.64405,No
tournament_sort,partial,100000,0,31.8445,33.7926,30.8842,30.8687,30.9329,31.0611,32.1134,31.589,32.5995,31.2675,33.3365,No
