Algorithm,InputType,Size,Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
MergeSort,Sorted,1000,0.489024,0.467245,0.750424,0.444866,0.450301,0.472626,0.495646,0.460652,0.448728,0.439876,0.459875,Yes
MergeSort,Sorted,10000,5.17182,5.36731,5.36227,5.57603,5.54113,5.31276,5.26636,5.19708,4.68635,4.66028,4.74861,Yes
MergeSort,Sorted,100000,50.2246,50.192,50.4389,49.1454,49.9567,50.0875,48.7278,53.0558,51.1483,48.7959,50.6974,Yes
MergeSort,Random,1000,0.511778,0.481374,0.507392,0.491634,0.483808,0.488875,0.489644,0.557631,0.518972,0.577012,0.521438,Yes
MergeSort,Random,10000,5.78037,6.1204,6.20153,5.91525,5.31751,5.5535,5.74578,5.94127,5.8972,5.94001,5.17126,Yes
MergeSort,Random,100000,60.5404,63.1015,62.9622,63.57,54.9632,62.5771,54.0693,63.0697,63.0111,63.1728,54.9075,Yes
MergeSort,Reverse,1000,0.565726,0.428639,0.467625,1.56688,0.449751,0.429929,0.459948,0.500507,0.450215,0.430305,0.473468,Yes
MergeSort,Reverse,10000,5.29627,4.66604,5.21387,5.3155,5.62205,5.46746,5.3873,5.43063,5.42572,5.22152,5.21257,Yes
MergeSort,Reverse,100000,52.6627,54.9971,49.9497,57.2002,50.5288,48.2493,54.5244,51.6086,54.6667,48.9192,55.9826,Yes
MergeSort,Partial,1000,0.537448,0.469533,0.478788,0.604056,0.503382,0.508973,0.516486,0.678726,0.52691,0.54307,0.544555,Yes
MergeSort,Partial,10000,5.05709,5.47457,5.50401,4.7733,4.94545,4.99764,4.93276,4.97157,4.88781,5.10912,4.97465,Yes
MergeSort,Partial,100000,54.9424,59.9913,52.2798,53.8539,53.7831,53.008,52.7491,52.7696,58.223,52.9693,59.7968,Yes
