Algorithm,InputType,Size,Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
HeapSort,Sorted,1000,0.199695,0.200589,0.202875,0.25322,0.377239,0.149946,0.145378,0.182078,0.155052,0.143294,0.18728,Yes
HeapSort,Sorted,10000,2.25787,2.24492,2.06003,2.03134,2.16831,2.10038,2.35851,2.12322,2.46413,2.30229,2.7256,Yes
HeapSort,Sorted,100000,27.0546,25.7053,28.7886,28.6951,26.6012,24.8153,28.0329,25.6676,28.4631,27.2854,26.4917,Yes
HeapSort,Random,1000,0.162475,0.157316,0.15121,0.157314,0.169352,0.15394,0.155544,0.168262,0.170346,0.161317,0.180154,Yes
HeapSort,Random,10000,2.83718,2.52123,2.37347,3.9655,3.33428,2.60961,2.85668,2.66727,2.69277,2.69957,2.65138,Yes
HeapSort,Random,100000,30.8779,30.86,29.2451,28.9509,29.5164,29.6424,36.1535,29.3056,32.4855,30.3415,32.2779,Yes
HeapSort,Reverse,1000,0.135088,0.141013,0.132879,0.130407,0.129962,0.129427,0.128712,0.168122,0.132612,0.12999,0.127753,Yes
HeapSort,Reverse,10000,2.21651,2.57881,2.22759,2.00012,1.95408,1.93915,2.29148,2.10405,2.21142,2.64572,2.21272,Yes
HeapSort,Reverse,100000,25.4803,26.9262,24.4572,24.0636,24.0947,27.3466,24.0094,25.9736,28.9349,24.4592,24.5378,Yes
HeapSort,Partial,1000,0.181157,0.155907,0.153879,0.156704,0.168721,0.163833,0.163719,0.343949,0.16671,0.16902,0.169125,Yes
HeapSort,Partial,10000,2.4263,2.43584,2.13338,2.62937,2.36649,2.52638,2.39012,2.49864,2.57672,2.66943,2.03666,Yes
HeapSort,Partial,100000,30.6338,31.5824,27.8507,30.1548,28.3695,31.7038,27.7655,32.4886,31.4294,32.3978,32.5952,Yes
