Algorithm,InputType,Size,Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
InsertionSort,Sorted,1000,0.0044538,0.003984,0.004106,0.004059,0.004099,0.006119,0.003874,0.003999,0.006621,0.003686,0.003991,Yes
InsertionSort,Sorted,10000,0.0430454,0.060989,0.058352,0.04474,0.039443,0.037613,0.037916,0.037145,0.039561,0.037131,0.037564,Yes
InsertionSort,Sorted,100000,0.437778,0.42473,0.43682,0.428167,0.435245,0.454041,0.430353,0.452643,0.456662,0.423198,0.435916,Yes
InsertionSort,Random,1000,0.99185,1.32021,0.875034,0.91403,1.00518,1.22497,0.853709,0.90918,0.98134,0.928968,0.905881,Yes
InsertionSort,Random,10000,100.549,109.515,91.7893,91.3832,95.5978,102.039,102.608,103.637,102.073,103.824,103.029,Yes
InsertionSort,Random,100000,9804.65,8513.47,10350,10647,8931.73,10267.3,10295.2,10093.8,8900.1,10004.5,10043.4,Yes
InsertionSort,Reverse,1000,1.75847,1.71488,1.68889,1.70555,1.83702,1.76667,1.73897,1.78591,1.80394,1.77588,1.76697,Yes
InsertionSort,Reverse,10000,50.3021,187.738,205.736,194.975,205.626,211.703,192.6,197,-1290.88,198.162,200.363,Yes
InsertionSort,Reverse,100000,19068.1,19908.5,18607.8,19693,18198.7,18404.6,19631.9,18248.1,21036.6,18511.4,18440.2,Yes
InsertionSort,Partial,1000,0.413297,0.4066,0.410039,0.403783,0.393155,0.403112,0.460893,0.423878,0.39398,0.42236,0.415167,Yes
InsertionSort,Partial,10000,49.7076,46.4475,45.9217,47.3781,46.8907,63.4455,49.039,52.9303,49.2381,49.9121,45.8727,Yes
InsertionSort,Partial,100000,4999.51,5045.99,5243.3,5113.75,5043.33,3653.43,5250.34,5263.29,5168.62,5128.24,5084.81,Yes
