Algorithm,InputType,Size,Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
selection_sort,Sorted,1000,1.30309,1.29956,1.2525,1.5778,1.43885,1.26341,1.22897,1.23739,1.22682,1.22687,1.27871,Yes
selection_sort,Sorted,10000,134.147,131.683,121.638,130.657,138.533,125.26,129.38,142.583,143.366,139.179,139.188,Yes
selection_sort,Sorted,100000,13309.3,12099.4,14417.2,14634.2,12339,13829.4,12180.9,13633.7,12317.2,13860.7,13781,Yes
selection_sort,Random,1000,1.401,1.28003,1.24642,1.56693,1.72193,1.42555,1.31972,1.39995,1.30299,1.3776,1.36892,Yes
selection_sort,Random,10000,-20.6252,136.687,-1406.76,132.682,124.201,128.754,133.982,131.953,135.699,138.017,138.529,Yes
selection_sort,Random,100000,12805.3,13636.9,13651.9,12027.9,13051.7,11873,13351.8,13350.2,11861.9,13322,11925.9,Yes
selection_sort,Reverse,1000,1.5062,1.17623,1.18795,1.21703,1.51121,1.58955,1.64164,2.00238,1.64324,1.55106,1.5417,Yes
selection_sort,Reverse,10000,138.121,141.806,135.388,132.344,145.096,132.253,134.538,136.901,136.619,141.299,144.963,Yes
selection_sort,Reverse,100000,13386.3,13863.4,12274.9,13848.8,14244.3,12309.7,13848.4,12473.1,13867.8,12942.5,14190.5,Yes
selection_sort,Partial,1000,1.5744,1.22488,1.1963,1.23625,1.66238,1.42587,1.33884,1.48962,2.27594,1.70152,2.19238,Yes
selection_sort,Partial,10000,131.586,140.858,143.001,128.03,134.292,126.855,126.43,125.724,134.009,130.364,126.3,Yes
selection_sort,Partial,100000,13363.2,12212.5,13893.2,13595.8,12112.2,13946.9,12288.8,14472.2,12529.4,14304.4,14276.5,Yes
