Algorithm,InputType,Size,Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
quick_sort,Sorted,1000,3.93036,4.44221,4.16997,3.83598,3.88259,3.31378,3.75539,4.05953,4.22048,3.61234,4.01137,Yes
quick_sort,Sorted,10000,403.529,405.074,393.858,392.156,424.27,390.467,411.165,406.35,419.273,407.615,385.06,Yes
quick_sort,Sorted,100000,46908.2,38342.5,39544.7,37188.1,41948,44943.2,42544.1,55643.9,56355.5,55430.4,57141.9,Yes
quick_sort,Random,1000,0.240364,0.154425,0.177404,0.205832,0.218324,0.177964,0.210778,0.327897,0.251498,0.471899,0.207614,Yes
quick_sort,Random,10000,2.21142,2.17061,1.86399,2.41008,2.38417,2.48721,1.98702,1.98554,1.94568,2.68669,2.1932,Yes
quick_sort,Random,100000,28.1026,25.4485,27.4633,27.6483,29.4123,24.3565,31.6702,33.8969,32.5493,23.8834,24.6976,Yes
quick_sort,Reverse,1000,5.12042,5.8292,5.23985,5.05982,6.28102,4.63377,5.64572,4.5122,3.30776,6.3408,4.35409,Yes
quick_sort,Reverse,10000,367.518,370.943,365.394,359.137,384.318,337.979,360.119,410.13,378.251,372.108,336.8,Yes
quick_sort,Reverse,100000,33154.1,33143.4,33725.7,33185.4,32535.9,33551.7,33188,32546.5,33826.9,32097.9,33739.8,Yes
quick_sort,Partial,1000,0.167104,0.232976,0.1236,0.13202,0.170981,0.167467,0.129108,0.184401,0.132717,0.150424,0.24735,Yes
quick_sort,Partial,10000,2.38024,2.05033,2.55696,2.61718,1.94201,2.04123,2.26675,3.45197,2.32158,2.29979,2.25461,Yes
quick_sort,Partial,100000,27.2395,28.567,26.4514,25.5474,24.2057,27.3745,27.445,23.7827,26.0106,32.474,30.537,Yes

1000 -> memory 0 KB (Trial1)
10000 -> memory 264 KB (Trial1)
100000 -> memory 4224 KB (Trial1)
