Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
bubble_sort,sorted,1000,4652,0.656156,0.628537,0.604572,0.65509,0.652474,0.900244,0.590873,0.600217,0.61704,0.645487,0.667024,Yes
bubble_sort,sorted,10000,12836,70.3549,75.2982,68.314,70.1399,67.8706,67.0829,68.9437,75.7363,73.4109,71.7818,64.971,Yes
bubble_sort,sorted,100000,96440,6667.14,5915.29,7139.84,7002.28,6980.85,6867.68,6102.07,7032.26,6716.64,6787.13,6127.36,Yes
bubble_sort,random,1000,4076,2.0367,1.95367,2.01959,2.02276,1.97731,1.98823,1.9509,1.92997,2.08088,2.46087,1.98286,Yes
bubble_sort,random,10000,9620,227.657,248.23,249.279,264.372,231.284,232.784,221.43,212.527,203.534,205.864,207.265,Yes
bubble_sort,random,100000,62604,22098.5,22421.7,21718,21533.1,22416.4,21598.5,21639.8,22048.6,21652.3,23514.5,22441.8,Yes
bubble_sort,reverse,1000,4680,2.05838,2.09821,2.03337,2.01981,2.11003,2.03836,1.98308,2.07047,2.00477,2.11883,2.10683,Yes
bubble_sort,reverse,10000,12864,230.165,229.009,248.985,248.328,237.705,209.634,207.172,238.86,221.362,234.772,225.821,Yes
bubble_sort,reverse,100000,96468,21692.4,21873,21679.5,21140.5,21804.9,20958.7,22111.9,21620.7,21071.9,21426.6,23236.3,Yes
bubble_sort,partial,1000,4360,1.29824,1.1665,1.13455,1.58699,1.19707,1.17522,1.22727,1.38904,1.15196,1.7958,1.15803,Yes
bubble_sort,partial,10000,10184,148.648,160.934,145.99,140.751,145.142,143.795,148.071,167.587,152.355,143.29,138.565,Yes
bubble_sort,partial,100000,68204,14353.5,14346.8,14578.6,14244.9,15101.1,14124.6,14173.2,14152.6,14399.5,14038.7,14375.2,Yes
