Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
heap_sort,sorted,1000,4632,0.160632,0.153682,0.179138,0.174312,0.173772,0.150115,0.166953,0.153584,0.155779,0.148446,0.150536,Yes
heap_sort,sorted,10000,12816,2.28226,2.20285,2.14454,2.30245,2.23705,2.30828,2.32369,2.53698,2.31733,2.49018,1.95922,Yes
heap_sort,sorted,100000,96412,33.7861,27.6608,29.1128,29.9833,31.9633,42.3301,27.4466,30.2837,43.6495,43.9961,31.435,Yes
heap_sort,random,1000,4048,0.171962,0.199084,0.172333,0.15973,0.180035,0.178657,0.158873,0.174649,0.161414,0.17248,0.162361,Yes
heap_sort,random,10000,9592,2.39158,2.34618,2.67939,2.06281,2.31512,2.34395,2.3958,2.47495,2.41209,2.37259,2.51286,Yes
heap_sort,random,100000,62812,30.5009,29.3533,28.264,31.7014,31.7934,32.9609,28.4294,29.5871,30.1344,31.383,31.4026,Yes
heap_sort,reverse,1000,4664,0.132248,0.127073,0.130144,0.143705,0.125422,0.125392,0.125398,0.143582,0.123983,0.141765,0.136016,Yes
heap_sort,reverse,10000,12848,1.94216,1.89259,2.00695,1.85593,2.09941,2.18974,1.89078,1.85011,1.82555,1.80965,2.00089,Yes
heap_sort,reverse,100000,96444,25.9317,29.6755,27.2732,28.3277,23.1862,29.9218,23.3718,25.8217,25.8676,23.1315,22.7395,Yes
heap_sort,partial,1000,4312,0.170613,0.159164,0.163849,0.172168,0.168556,0.173708,0.185804,0.163204,0.174446,0.170225,0.175009,Yes
heap_sort,partial,10000,10120,2.41017,2.38584,2.598,2.33251,2.4171,2.42303,2.32109,2.49445,2.43173,2.20657,2.49141,Yes
heap_sort,partial,100000,68304,30.369,30.0624,29.3389,29.781,30.2098,29.4314,32.8384,33.9924,29.1211,29.7122,29.2028,Yes
