Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
insertion_sort,sorted,1000,4576,0.0062798,0.006844,0.005532,0.004985,0.005549,0.005122,0.005689,0.005564,0.004825,0.004751,0.013937,Yes
insertion_sort,sorted,10000,12760,0.0467098,0.044422,0.044888,0.045272,0.045182,0.045163,0.046407,0.049823,0.054349,0.045404,0.046188,Yes
insertion_sort,sorted,100000,96356,0.471514,0.44359,0.434478,0.41647,0.415598,0.428782,0.444958,0.509565,0.511283,0.59916,0.511255,Yes
insertion_sort,random,1000,4152,1.25548,1.05147,1.11664,1.10463,1.16841,1.10978,1.11222,1.58843,1.22431,1.94189,1.13701,Yes
insertion_sort,random,10000,9720,109.891,124.712,121.634,110.318,106.707,119.949,103.297,95.6964,101.535,110.679,104.385,Yes
insertion_sort,random,100000,62904,10220.5,11397.9,9905.44,9828.9,10194,9877.57,10052.5,10657.9,10621.2,9832.07,9837.56,Yes
insertion_sort,reverse,1000,4620,1.92494,1.86739,1.93865,2.493,1.95567,1.92061,1.90136,1.74479,1.87405,1.82943,1.72446,Yes
insertion_sort,reverse,10000,12804,190.675,190.9,193.593,186.799,178.775,190.44,194.788,196.616,193.104,187.185,194.552,Yes
insertion_sort,reverse,100000,96404,19526.5,19958,19798.2,20288,19695.9,19020.1,19380.8,19380.6,19023.7,19138.2,19581.7,Yes
insertion_sort,partial,1000,4384,0.493576,0.479729,0.389971,0.391801,0.553294,0.419835,0.489497,0.446095,0.422862,0.929287,0.413385,Yes
insertion_sort,partial,10000,10192,46.7089,48.7755,52.7154,45.0615,47.0894,46.1161,45.2897,45.5863,45.1372,44.2021,47.1154,Yes
insertion_sort,partial,100000,68216,5003.23,5192.47,4829.63,4940.67,4785.72,4986.09,5075.41,4900.81,5173.76,4877.46,5270.23,Yes
