Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
merge_sort,sorted,1000,4668,0.46475,0.589314,0.434073,0.440659,0.444364,0.419865,0.447005,0.450787,0.442538,0.430499,0.548394,Yes
merge_sort,sorted,10000,12852,4.78955,4.94131,4.57246,4.78901,4.91918,4.57281,4.66326,4.70565,4.87136,4.88407,4.97643,Yes
merge_sort,sorted,100000,96428,53.025,50.2042,50.4628,48.5455,46.5925,59.4526,48.2622,49.9856,68.1201,53.2471,55.3774,Yes
merge_sort,random,1000,4416,0.503559,0.494608,0.475945,0.507087,0.666392,0.479786,0.492152,0.48383,0.489913,0.47896,0.46692,Yes
merge_sort,random,10000,9820,5.43814,5.74394,6.03982,6.04209,5.33931,5.34825,5.40816,5.1266,5.12765,5.09353,5.11202,Yes
merge_sort,random,100000,62928,57.6144,54.897,54.2734,53.7212,57.3126,54.6373,60.2119,60.9144,60.9516,59.4845,59.7399,Yes
merge_sort,reverse,1000,4580,0.43562,0.4523,0.43392,0.44529,0.424314,0.439213,0.431456,0.422913,0.426313,0.456341,0.424136,Yes
merge_sort,reverse,10000,12764,4.93224,4.44775,4.4116,4.47122,4.67852,5.02496,6.34603,5.31677,4.91977,4.90614,4.79964,Yes
merge_sort,reverse,100000,96340,49.2661,52.636,46.207,45.9761,47.7691,48.1281,52.7476,47.484,47.8787,52.2802,51.5546,Yes
merge_sort,partial,1000,4400,0.474217,0.489724,0.46491,0.451248,0.448876,0.590734,0.470791,0.439893,0.47926,0.464389,0.442344,Yes
merge_sort,partial,10000,10208,5.08712,4.77761,4.76199,4.74422,4.8345,4.88884,4.93199,4.84258,5.27056,6.07083,5.74804,Yes
merge_sort,partial,100000,68448,54.0375,51.8972,51.5418,50.3075,53.8499,51.3015,51.296,60.202,60.2026,51.6982,58.078,Yes
