Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
quick_sort,sorted,1000,4624,4.24669,4.04694,3.94761,4.24009,4.15864,3.93009,3.82674,4.20391,4.1901,5.02757,4.89525,Yes
quick_sort,sorted,10000,13252,436.841,426.314,427.796,454.534,494.169,419.362,429.924,432.229,422.915,436.803,424.362,Yes
quick_sort,sorted,100000,101092,40383,42126.8,43677.2,39280.5,40473.9,40023.6,38181.6,40383.4,40379.5,38457,40846.6,Yes
quick_sort,random,1000,4048,0.0959547,0.108159,0.100376,0.092686,0.089287,0.091653,0.093582,0.099161,0.094373,0.095108,0.095162,Yes
quick_sort,random,10000,9592,1.43132,1.36664,1.30073,1.42692,1.64397,2.00136,1.51933,1.28372,1.28535,1.24447,1.2407,Yes
quick_sort,random,100000,62856,18.4769,17.4097,16.5219,16.0129,18.7977,17.1258,20.734,18.8951,19.2154,18.6142,21.4425,Yes
quick_sort,reverse,1000,4580,3.12717,3.18744,2.98638,3.08257,3.17285,3.17476,3.04435,3.00703,3.22661,3.33234,3.05739,Yes
quick_sort,reverse,10000,13204,253.22,276.306,250.537,248.002,254.343,241.726,239.222,268.773,244.997,243.351,264.945,Yes
quick_sort,reverse,100000,101044,24190,24058.2,23959.9,23846.3,25718.1,23908.9,23252.4,24505.4,24784.2,24014.1,23852.9,Yes
quick_sort,partial,1000,4440,0.0969174,0.088019,0.080826,0.103854,0.086219,0.128748,0.083267,0.111708,0.089064,0.090298,0.107171,Yes
quick_sort,partial,10000,10388,1.34689,1.21531,1.32291,1.42508,1.22856,1.67577,1.31864,1.31992,1.3109,1.26245,1.38931,Yes
quick_sort,partial,100000,68480,17.3541,19.6111,17.3477,15.6444,16.196,17.335,16.5274,18.4222,16.4311,17.056,18.9697,Yes
