Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
selection_sort,sorted,1000,3764,1.70833,1.54535,1.57956,1.6192,1.65539,1.60701,1.6042,2.00993,2.23219,1.65361,1.57687,Yes
selection_sort,sorted,10000,5612,161.6,198.572,182.014,167.796,174.181,172.016,145.479,141.391,148.546,140.86,145.145,Yes
selection_sort,sorted,100000,24324,13733.5,15024.6,12427.4,13636.6,12427.9,14386.4,13084.1,14184.3,14823.5,12639.9,14699.9,Yes
selection_sort,random,1000,3836,1.3074,1.27332,1.21798,1.26171,1.31858,1.20929,1.24459,1.22858,1.24776,1.76091,1.31132,No
selection_sort,random,10000,4892,154.887,133.962,152.543,162.554,162.334,157.526,159.104,158.285,149.957,148.998,163.604,No
selection_sort,random,100000,17176,13579.4,12786.2,14198.7,13119.3,14544.9,12825.2,14759.2,14975.6,12376.9,13837.8,12370.1,No
selection_sort,reverse,1000,3820,1.86141,1.82272,1.80391,2.00954,1.87285,1.93131,1.7842,1.83688,1.67881,1.97999,1.89393,Yes
selection_sort,reverse,10000,5668,146.713,156.527,177.699,139.7,139.648,143.665,138.428,145.042,146.626,146.02,133.775,Yes
selection_sort,reverse,100000,24384,13721.9,14273.2,12878.6,14175.2,12606.8,14642.5,14446.6,12676.8,14244.3,13025,14249.8,Yes
selection_sort,partial,1000,3860,1.35614,1.62031,1.3274,1.23176,1.89016,1.23444,1.19644,1.38005,1.22396,1.23834,1.21856,No
selection_sort,partial,10000,5180,147.762,135.252,131.585,136.031,130.919,142.212,152.499,157.514,161.741,175.572,154.296,No
selection_sort,partial,100000,18320,13485,12756.5,15438.1,13068,13895,14004,12711.9,13623.3,12744.3,14141.9,12466.4,No
