Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
heap_sort,sorted,1000,0,0.283147,0.271967,0.311497,0.289544,0.323631,0.246135,0.265532,0.246958,0.320545,0.308867,0.246792,Yes
heap_sort,sorted,10000,0,3.42279,3.28584,3.25388,3.18095,3.10442,3.33623,3.22881,3.83172,3.55107,3.44272,4.01225,Yes
heap_sort,sorted,100000,0,39.5657,41.7712,36.4377,41.143,38.3037,39.5322,36.6763,40.6364,40.6345,42.367,38.1555,Yes
heap_sort,random,1000,0,0.268746,0.262915,0.305539,0.226474,0.233028,0.270262,0.291049,0.27616,0.330825,0.234986,0.256218,No
heap_sort,random,10000,0,3.59008,4.88605,3.80458,4.52613,3.23577,3.57741,3.03216,3.11297,3.30425,3.11094,3.31051,No
heap_sort,random,100000,0,43.1585,40.4872,43.4425,46.5399,41.9403,40.3726,44.1952,42.6099,47.0046,45.0874,39.9048,No
heap_sort,reverse,1000,0,0.206828,0.233722,0.191179,0.188454,0.196037,0.196362,0.249322,0.194135,0.187157,0.231253,0.200661,Yes
heap_sort,reverse,10000,0,3.07952,3.07848,2.98433,3.05824,3.08424,2.9219,3.18362,3.15935,3.06766,3.17902,3.07834,Yes
heap_sort,reverse,100000,0,36.2066,35.1334,35.2431,38.5643,33.566,35.6077,39.5677,38.7495,34.3354,34.7945,36.5044,Yes
heap_sort,partial,1000,0,0.233877,0.274557,0.216106,0.223931,0.263936,0.220672,0.213191,0.232088,0.230697,0.230925,0.232668,No
heap_sort,partial,10000,0,3.40852,3.0064,4.31543,3.02459,3.53445,3.36577,3.50885,3.2999,3.27339,3.35691,3.39946,No
heap_sort,partial,100000,0,42.6545,39.5293,44.73,39.1415,44.0165,43.4127,42.906,42.8667,42.9806,39.8045,47.1576,No
