Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
insertion_sort,sorted,1000,0,0.0081527,0.008084,0.009273,0.006149,0.006988,0.008496,0.006848,0.006375,0.010085,0.008802,0.010427,Yes
insertion_sort,sorted,10000,0,0.0864009,0.128988,0.094436,0.065786,0.060198,0.085427,0.064866,0.142255,0.086477,0.066241,0.069335,Yes
insertion_sort,sorted,100000,0,0.713534,0.842829,0.727389,0.74583,0.67218,0.658925,0.613778,0.601618,0.829524,0.707564,0.735707,Yes
insertion_sort,random,1000,0,1.81916,1.69277,2.03108,1.48012,1.66809,2.48406,1.53053,2.03832,2.03716,1.742,1.48742,Yes
insertion_sort,random,10000,0,159.51,181.008,176.137,172.991,162.067,156.781,157.313,151.441,145.059,145.036,147.268,Yes
insertion_sort,random,100000,0,15653.2,15523.9,15421.1,14996.2,14940.6,15536.9,15220.3,15590.7,15313.1,14248.4,19740.9,Yes
insertion_sort,reverse,1000,0,3.5628,3.30296,3.92708,3.25963,3.2601,3.33272,4.80958,3.59361,3.12182,3.30938,3.71114,Yes
insertion_sort,reverse,10000,0,422.318,369.106,400.886,389.377,521.026,440.557,412.692,406.037,400.532,474.447,408.519,Yes
insertion_sort,reverse,100000,0,29116.4,31168.4,28774.9,29248.9,28957.5,28730.4,28582.2,29396.3,29099.8,28530.9,28674.3,Yes
insertion_sort,partial,1000,0,0.788155,0.681274,0.617089,0.600529,0.667783,0.762442,0.856574,0.686545,1.08807,0.861386,1.05985,Yes
insertion_sort,partial,10000,0,76.7468,79.4775,83.0919,82.5604,78.3063,77.0579,75.4247,73.136,72.6109,72.26,73.5423,Yes
insertion_sort,partial,100000,0,7257.24,7426.51,7406.46,6676.46,7423.47,7474.96,7218.7,7449.6,6736.66,7249.85,7509.69,Yes
