Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
quick_sort,sorted,1000,0,7.9443,7.92581,7.26988,7.29055,7.70397,8.06831,7.56672,8.28257,8.29968,7.54327,9.49222,Yes
quick_sort,sorted,10000,0,806.829,776.487,837.242,954.963,789.947,748.833,762.49,764.265,858.387,806.888,768.785,Yes
quick_sort,sorted,100000,0,78814.9,77773.6,80571.9,77672.7,80346.7,79300.8,78808.6,78448.9,78469.8,77143.2,79612.9,Yes
quick_sort,random,1000,0,0.271581,0.195669,0.181932,0.256947,0.252443,0.238888,0.283793,0.165428,0.504664,0.437213,0.198837,No
quick_sort,random,10000,0,3.33552,2.6456,3.61906,2.83086,2.94346,2.56936,2.64559,3.02841,2.8993,5.00542,5.16817,No
quick_sort,random,100000,0,28.7863,33.4665,31.3356,29.074,27.8776,27.3181,25.463,28.5406,30.6411,27.7385,26.408,No
quick_sort,reverse,1000,0,4.92653,5.53506,4.40995,4.52046,5.29747,4.2999,4.95654,5.67499,4.55494,4.68196,5.334,Yes
quick_sort,reverse,10000,0,470.79,523.898,469.879,417.973,428.763,532.773,506.51,483.618,488.517,419.296,436.677,Yes
quick_sort,reverse,100000,0,45871.9,43330.3,49883,47353.2,43308.1,43927,44539.7,43277.5,43233.8,48075.4,51791.4,Yes
quick_sort,partial,1000,0,0.184911,0.221099,0.255724,0.214677,0.183797,0.173457,0.149518,0.152264,0.164709,0.179259,0.154605,No
quick_sort,partial,10000,0,2.64853,2.56096,2.08486,2.28665,2.41253,2.38722,3.77474,2.66689,2.60074,3.37231,2.3384,No
quick_sort,partial,100000,0,31.6239,36.0202,34.2658,35.1231,29.6882,30.9815,29.2053,31.4673,28.9371,27.5269,33.0234,No
