Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
introsort,sorted,1000,3820,1.13764,0.877096,0.753684,0.931151,0.964554,1.05201,1.46012,1.01241,0.859919,0.959142,2.50634,Yes
introsort,sorted,10000,5668,13.944,19.1709,14.0288,12.0414,14.7389,11.3722,12.5282,13.7136,14.8747,12.7945,14.1766,Yes
introsort,sorted,100000,24384,155.828,166.717,190.109,194.754,154.704,189.873,144.561,131.304,127.17,127.17,131.922,Yes
introsort,random,1000,3912,0.205712,0.308362,0.247325,0.209299,0.157331,0.170941,0.200457,0.177705,0.190678,0.179288,0.215731,No
introsort,random,10000,4968,7.59982,3.54149,2.84721,2.87424,2.63432,3.7852,2.89031,48.8447,2.89808,3.01454,2.6682,No
introsort,random,100000,17392,376.124,34.5484,35.4062,33.5434,662.463,35.066,38.1878,34.9203,1212.47,965.223,709.411,No
introsort,reverse,1000,3840,0.613983,0.545487,0.782664,0.692824,0.824736,0.825322,0.499917,0.476167,0.538603,0.465473,0.488638,Yes
introsort,reverse,10000,5688,8.38887,8.18452,11.3005,7.87545,8.53884,8.58734,7.93685,7.365,8.17674,8.37064,7.5528,Yes
introsort,reverse,100000,24408,97.6053,95.9158,98.1139,99.2535,100.287,93.203,90.027,95.638,93.0652,100.7,109.849,Yes
introsort,partial,1000,3880,1.62248,1.64852,0.197733,0.17569,3.39593,0.184278,2.81758,1.73666,1.44622,0.509654,4.11253,No
introsort,partial,10000,5200,42.7833,57.8688,37.0263,50.6912,39.0578,37.6137,61.7674,36.122,41.0185,39.015,27.6521,No
introsort,partial,100000,18372,682.076,906.383,643.754,676.553,930.459,439.98,548.481,714.361,447.954,779.306,733.526,No
