Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
cocktail_shaker_sort,sorted,1000,0,0.0044607,0.004139,0.003532,0.004139,0.003801,0.003727,0.005757,0.006882,0.003462,0.005049,0.004119,Yes
cocktail_shaker_sort,sorted,10000,0,0.0338649,0.02788,0.034042,0.035536,0.047074,0.034764,0.031069,0.030978,0.030478,0.03088,0.035948,Yes
cocktail_shaker_sort,sorted,100000,0,0.30082,0.289966,0.299265,0.291447,0.305295,0.284733,0.318247,0.285459,0.318965,0.302046,0.312781,Yes
cocktail_shaker_sort,random,1000,0,6.13008,6.19385,5.65166,7.12931,6.06034,6.38066,5.93398,5.7829,6.15995,6.28962,5.71851,Yes
cocktail_shaker_sort,random,10000,0,590.618,562.866,701.284,550.267,534.444,537.496,594.188,636.607,665.531,569.5,554.001,Yes
cocktail_shaker_sort,random,100000,0,56862.4,58632.9,63248.7,56669.7,55831.4,55887.9,56562.6,55921.4,55421.1,55614.8,54833.8,Yes
cocktail_shaker_sort,reverse,1000,0,9.03287,8.20089,9.06946,9.76228,8.35543,9.97103,8.40828,9.69893,8.97316,8.77088,9.11839,Yes
cocktail_shaker_sort,reverse,10000,0,816.921,758.038,878.666,882.489,920.498,739.054,772.864,811.942,869.868,778.185,757.608,Yes
cocktail_shaker_sort,reverse,100000,0,79310.9,79142.7,79045.1,78768.1,78479.7,80138.3,80145.1,78948.7,79312.1,79674.5,79454.6,Yes
cocktail_shaker_sort,partial,1000,0,2.46282,2.28372,2.43656,2.26104,2.42951,2.43635,2.38519,2.55404,2.6196,2.7167,2.50546,Yes
cocktail_shaker_sort,partial,10000,0,271.338,274.076,270.029,281.767,255.577,283.945,277.135,263.289,271.878,281.406,254.281,Yes
cocktail_shaker_sort,partial,100000,0,27338.3,27364.2,27375,27224.9,27324,28014.2,27295.3,27088.6,27276.7,27064.4,27355.5,Yes
