Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
introsort,sorted,1000,0,0.64347,0.559684,0.771442,0.914103,0.58939,0.668796,0.618801,0.575663,0.584129,0.555813,0.596877,Yes
introsort,sorted,10000,0,9.45766,9.65053,10.0071,9.79843,9.51943,9.8875,9.71646,9.50257,8.65129,8.62401,9.21927,Yes
introsort,sorted,100000,0,103.025,118.685,102.635,102.28,102.237,115.887,106.275,97.2355,96.4594,94.8199,93.739,Yes
introsort,random,1000,0,0.12972,0.137606,0.124845,0.140151,0.113506,0.118698,0.137943,0.139646,0.125455,0.131739,0.12761,No
introsort,random,10000,0,5.0521,1.70809,33.0666,1.99071,2.02756,2.04162,1.72778,1.88224,2.01852,1.78557,2.27234,No
introsort,random,100000,0,361.763,455.315,22.9295,515.492,22.1547,25.9843,582.994,645.427,744.366,582.052,20.9101,No
introsort,reverse,1000,0,0.340768,0.332876,0.330845,0.346977,0.333656,0.329146,0.405045,0.328028,0.340225,0.327203,0.333683,Yes
introsort,reverse,10000,0,5.04738,4.60408,4.75633,4.71511,5.02497,5.15352,5.12445,5.21675,5.32063,5.28096,5.27696,Yes
introsort,reverse,100000,0,64.8362,59.4481,67.0663,63.4,67.3385,67.3924,58.1684,67.4196,64.7043,65.8031,67.6215,Yes
introsort,partial,1000,0,1.13346,0.839908,1.25102,1.092,0.680606,1.6104,1.53069,0.619483,1.30937,0.629405,1.77175,No
introsort,partial,10000,0,28.4635,43.011,40.1116,29.9821,23.1816,28.3664,17.9651,28.5275,24.7288,27.9725,20.7883,No
introsort,partial,100000,0,411.792,336.933,473.369,349.065,458.958,512.076,216.728,539.992,216.511,290.644,723.64,No
