Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
library_sort,sorted,1000,4176,0.126593,0.183728,0.097659,0.097596,0.094184,0.105665,0.10804,0.107457,0.155185,0.150754,0.165661,Yes
library_sort,sorted,10000,0,1.9947,1.77296,1.69197,1.83564,2.16856,1.86461,1.71015,2.22749,2.41606,1.51156,2.74797,Yes
library_sort,sorted,100000,0,16.0696,21.4457,16.0631,17.3811,14.2753,16.0707,16.1761,13.7147,14.675,15.7741,15.1207,Yes
library_sort,random,1000,4176,1.59041,1.5758,1.54066,1.48501,1.57366,1.80488,1.81724,1.54694,1.53391,1.49521,1.53083,Yes
library_sort,random,10000,0,165.378,178.812,174.291,163.293,155.866,148.948,150.598,164.676,193.492,167.21,156.598,Yes
library_sort,random,100000,0,15592.7,15996.9,15260.3,16000.9,15178.1,16154.2,15066.5,15768,15186.5,16125.2,15190.8,Yes
library_sort,reverse,1000,4176,3.56386,3.63568,3.40925,3.11188,3.28883,3.33378,3.39534,3.0729,5.29114,3.60899,3.49085,Yes
library_sort,reverse,10000,0,345.901,360.067,348.426,367.088,352.808,361.03,332.858,342.122,330.113,330.058,334.441,Yes
library_sort,reverse,100000,0,31900.2,31795.4,32514.1,31799.1,32284.8,31984.4,31728.1,31824.6,31750.1,31426,31894.8,Yes
library_sort,partial,1000,4176,0.894938,0.869818,0.803205,0.770769,0.800281,1.02776,0.944636,0.940751,0.801346,1.19325,0.797562,Yes
library_sort,partial,10000,0,85.3031,88.11,90.1275,81.8107,88.5528,75.048,83.0014,91.6731,82.177,78.8296,93.7013,Yes
library_sort,partial,100000,0,7754.06,7993.96,7006.16,7877.13,7898.96,8218.76,7124.65,7930.73,8050.52,7883.41,7556.31,Yes
