Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
bubble_sort,sorted,1000,0,0.0029738,0.005034,0.002923,0.002762,0.002617,0.002622,0.002744,0.002622,0.002688,0.002801,0.002925,Yes
bubble_sort,sorted,10000,0,0.0279239,0.022987,0.024914,0.023706,0.035061,0.025605,0.026354,0.040595,0.026437,0.027294,0.026286,Yes
bubble_sort,sorted,100000,0,0.240447,0.24563,0.246445,0.216502,0.253447,0.231495,0.222142,0.228029,0.263139,0.267418,0.230222,Yes
bubble_sort,random,1000,0,5.62948,5.41488,5.47799,6.31186,5.8751,5.48234,5.23865,5.66981,5.3994,5.80798,5.61684,Yes
bubble_sort,random,10000,0,567.289,608.096,589.265,535.301,539.462,554.903,563.443,588.02,570.208,574.433,549.757,Yes
bubble_sort,random,100000,0,60210.9,58676.9,59435.7,59675.4,60204.9,60547.3,60448.4,59956.2,60975.9,61131.2,61057,Yes
bubble_sort,reverse,1000,0,7.76285,8.26763,7.64024,7.60799,7.64498,7.44859,7.56728,7.68356,8.27082,7.77242,7.72497,Yes
bubble_sort,reverse,10000,0,767.216,817.502,839.598,961.743,238.793,810.318,821.84,774.523,793.912,807.027,806.899,Yes
bubble_sort,reverse,100000,0,82950,79241.1,78655.7,82929.1,81531.5,83946.7,84786.6,84105.4,84549.3,85329,84425.1,Yes
bubble_sort,partial,1000,0,4.1785,3.33914,3.41523,4.3478,3.53643,5.02216,5.37161,3.94226,4.2537,4.59821,3.95847,Yes
bubble_sort,partial,10000,0,425.162,445.332,441.275,471.028,457.994,434.916,420.865,390.798,403.358,391.96,394.093,Yes
bubble_sort,partial,100000,0,43348.3,43656.9,42176.3,43094.8,43460.2,44368.1,43669.2,43120.4,42906.5,43103.8,43926.7,Yes
