Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
merge_sort,sorted,1000,6480,0.682371,0.925488,0.701739,0.623784,0.600913,0.628603,0.682997,0.598727,0.609793,0.635341,0.816329,Yes
merge_sort,sorted,10000,3952,7.5959,7.50145,7.88997,7.66888,7.25542,7.59899,7.54506,8.0998,7.95262,7.10413,7.34268,Yes
merge_sort,sorted,100000,4352,82.0342,79.6579,80.4139,79.0258,86.3532,86.3777,77.8106,88.265,85.1768,76.8419,80.4189,Yes
merge_sort,random,1000,6480,0.675282,0.677166,0.652101,0.649995,0.701823,0.716343,0.724773,0.62214,0.714307,0.644249,0.649926,Yes
merge_sort,random,10000,3952,8.32465,7.64759,8.33808,8.87766,8.77514,8.97697,8.80396,8.78959,7.74348,7.66137,7.63269,Yes
merge_sort,random,100000,4480,93.3252,115.029,100.228,93.6547,83.8084,89.6707,94.0649,88.0882,90.2973,88.8372,89.5735,Yes
merge_sort,reverse,1000,6480,0.733811,0.66684,0.645554,0.65697,0.709464,0.719179,0.87684,0.75338,0.68829,0.692172,0.92942,Yes
merge_sort,reverse,10000,3952,8.38347,8.8699,8.37174,8.9181,7.92751,8.23455,7.80041,8.21979,8.43025,9.14854,7.9139,Yes
merge_sort,reverse,100000,4352,85.8254,91.7804,93.6565,79.1636,80.5033,89.0163,88.7585,85.3604,90.5145,79.1315,80.3694,Yes
merge_sort,partial,1000,6480,0.685045,0.673161,0.644519,0.834987,0.63262,0.684817,0.622317,0.628566,0.806107,0.63167,0.691683,Yes
merge_sort,partial,10000,3952,8.28187,8.19932,8.26197,8.31159,8.40124,8.52844,8.69063,8.9212,8.59149,7.60594,7.3069,Yes
merge_sort,partial,100000,4352,84.1147,83.0832,81.093,81.0944,81.1518,85.7013,88.7941,81.8873,92.2738,82.2539,83.8142,Yes
