Algorithm,InputType,Size,Memory(B),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
selection_sort,sorted,1000,0,1.61251,1.62825,1.38562,1.97282,1.71993,1.45062,1.51998,1.48696,1.87644,1.49344,1.59104,Yes
selection_sort,sorted,10000,0,178.182,162.511,185.599,200.764,187.869,175.653,176.536,175.279,176.154,176.424,165.028,Yes
selection_sort,sorted,100000,0,14858,14902.6,14047.5,15509.4,14343.3,16114.6,14075.8,15061.7,15130.6,15045.8,14348.9,Yes
selection_sort,random,1000,0,1.8026,1.37709,1.49232,1.38772,1.42792,1.42022,1.89026,1.76571,2.24617,2.49363,2.52496,No
selection_sort,random,10000,0,149.612,163.098,159.335,147.706,144.388,149.175,147.043,147.809,143.584,140.01,153.977,No
selection_sort,random,100000,0,14982.7,15363.4,14043.8,15558.3,13982.8,14712.7,14302.8,16978.6,15645,14901.3,14338.1,No
selection_sort,reverse,1000,0,1.55441,1.46517,1.44073,1.39559,2.19562,1.47264,1.4687,1.4884,1.46407,1.65453,1.4987,Yes
selection_sort,reverse,10000,0,152.258,149.371,152.696,152.873,147.329,154.255,155.179,159.073,151.888,151.105,148.814,Yes
selection_sort,reverse,100000,0,15421.3,15248.1,14859.7,16143.1,16264,16287.9,14860.6,15287.4,14926.5,15171.9,15164.3,Yes
selection_sort,partial,1000,0,1.62034,2.19431,1.41678,2.14805,1.63705,1.43562,1.43516,1.46944,1.45412,1.58295,1.42993,No
selection_sort,partial,10000,0,162.299,145.911,142.872,142.508,167.295,181.358,179.802,171.78,162.967,164.673,163.827,No
selection_sort,partial,100000,0,14637.9,14147,14905.9,15169.2,14825.3,14070.5,14887.7,14108.1,15271.4,14103.8,14890.3,No
