Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
cocktail_shaker_sort,sorted,1000,3860,0.0031504,0.004876,0.002722,0.003091,0.003024,0.002902,0.002822,0.002724,0.00286,0.003298,0.003185,Yes
cocktail_shaker_sort,sorted,10000,5708,0.0299792,0.057425,0.023531,0.023375,0.024285,0.028446,0.026158,0.026973,0.029968,0.02957,0.030061,Yes
cocktail_shaker_sort,sorted,100000,24424,0.315027,0.260555,0.261458,0.24187,0.268389,0.234473,0.229938,0.283936,0.251968,0.6041,0.513585,Yes
cocktail_shaker_sort,random,1000,3856,6.5317,6.30912,5.86966,6.49111,6.14391,6.39667,6.48967,6.04861,7.30195,6.01522,8.25109,Yes
cocktail_shaker_sort,random,10000,4912,709.135,670.737,669.899,553.171,559.575,583.65,536.298,790.673,1228.04,868.786,630.519,Yes
cocktail_shaker_sort,random,100000,17196,53567.3,53083,52132,57014.2,54509.1,52530.5,52348.6,56257.4,50573.2,52816.6,54408.6,Yes
cocktail_shaker_sort,reverse,1000,3836,10.0603,10.924,10.3741,10.7478,8.18336,10.8312,8.28318,8.32755,9.90739,10.4847,12.5394,Yes
cocktail_shaker_sort,reverse,10000,5684,834.769,859.231,787.213,837.873,934.698,788.331,774.99,808.126,855.328,853.889,848.014,Yes
cocktail_shaker_sort,reverse,100000,24404,81321.9,80970.3,81397.5,82895.3,83203.4,82037.9,77932.3,80386.9,81084.6,80418.3,82892,Yes
cocktail_shaker_sort,partial,1000,3848,4.25827,2.74876,3.02036,3.58983,3.70579,4.57931,5.0358,3.32872,3.90089,4.15409,8.51913,Yes
cocktail_shaker_sort,partial,10000,5168,328.212,379.88,373.069,335.326,305.919,298.282,297.4,328.45,297.666,332.926,333.205,Yes
cocktail_shaker_sort,partial,100000,18332,28244.3,27927.3,29022.9,28310.1,27935.6,28024.9,27641,28691.9,29078.3,27415,28396,Yes
