Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
comb_sort,sorted,1000,3876,0.0751066,0.102343,0.070086,0.071011,0.07101,0.070395,0.071874,0.07038,0.069666,0.08452,0.069781,Yes
comb_sort,sorted,10000,5724,1.06269,1.02995,1.10927,1.04028,1.05642,0.996594,1.17531,0.999086,1.00776,1.17601,1.03626,Yes
comb_sort,sorted,100000,24444,14.1801,14.24,14.2416,14.1628,13.7559,13.8276,13.9175,14.3808,15.2415,14.073,13.9607,Yes
comb_sort,random,1000,3900,0.241487,0.401574,0.285466,0.194519,0.198286,0.227032,0.284905,0.239531,0.200507,0.19485,0.188199,No
comb_sort,random,10000,4956,3.4394,3.06134,3.16283,3.02499,3.23003,3.38484,3.48391,4.00725,3.14388,3.19178,4.70311,No
comb_sort,random,100000,17244,39.2365,43.9307,42.2234,41.4131,41.7568,40.3279,38.6654,38.2848,35.6068,34.5793,35.5764,No
comb_sort,reverse,1000,3824,0.226624,1.37955,0.099021,0.097987,0.098412,0.098757,0.097602,0.098202,0.098973,0.097701,0.100033,Yes
comb_sort,reverse,10000,5672,1.4565,1.47579,1.40062,1.43356,1.42531,1.40908,1.44556,1.57503,1.488,1.45701,1.45502,Yes
comb_sort,reverse,100000,24388,20.0825,19.7601,22.145,21.5707,20.1696,19.6822,18.6028,19.2899,21.245,19.7567,18.6035,Yes
comb_sort,partial,1000,3920,0.188383,0.18208,0.185608,0.19897,0.198798,0.200081,0.185973,0.186267,0.182182,0.179016,0.184856,No
comb_sort,partial,10000,5240,2.86912,3.20695,2.70149,2.85606,2.68757,2.99189,2.66376,3.20017,2.80574,2.77345,2.80408,No
comb_sort,partial,100000,18316,33.8002,36.0062,33.5616,33.6255,33.8017,33.2768,33.6834,33.2466,33.0991,34.0507,33.6508,No
