Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
introsort,sorted,1000,3876,0.761725,0.65706,0.656645,0.796431,0.706816,0.847404,0.71179,0.9568,0.970668,0.64729,0.666347,Yes
introsort,sorted,10000,5724,9.58852,9.45762,10.0224,10.4814,8.65286,11.0391,10.183,8.53979,8.18228,11.2977,8.02896,Yes
introsort,sorted,100000,24448,104.162,106.999,101.59,96.9496,98.432,100.182,109.289,105.387,96.9467,115.169,110.68,Yes
introsort,random,1000,3904,0.170372,0.18322,0.157722,0.15753,0.237887,0.158578,0.177269,0.18754,0.16007,0.134747,0.149162,No
introsort,random,10000,4960,7.07916,2.75114,2.17395,2.27673,48.8277,3.49556,2.37491,2.17374,2.14437,2.20787,2.36563,No
introsort,random,100000,17388,299.239,461.905,910.647,744.447,25.223,24.8623,719.269,27.6543,25.4506,26.3067,26.6286,No
introsort,reverse,1000,3908,0.408236,0.396691,0.383995,0.426617,0.389175,0.386238,0.42689,0.392992,0.429685,0.376879,0.473196,Yes
introsort,reverse,10000,5756,6.01634,6.03533,6.14088,5.85321,5.83803,5.76572,5.71215,7.08376,5.83491,6.22909,5.67031,Yes
introsort,reverse,100000,24484,77.5207,76.5702,71.0498,72.2456,75.3014,72.0871,78.584,82.3035,83.7683,81.9242,81.3731,Yes
introsort,partial,1000,3940,1.09436,0.783149,1.70791,1.50517,1.39029,0.751356,0.106594,0.134341,3.27736,0.131461,1.15592,No
introsort,partial,10000,5260,34.5642,19.7201,30.6534,30.8445,51.3746,48.0436,35.5237,30.6209,34.383,28.7809,35.6978,No
introsort,partial,100000,18420,427.213,431.039,336.687,382.363,421.219,326.403,576.438,382.612,493.672,278.634,643.06,No
