Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,rebalance,Stable
LibrarySort,sorted,1000,3568,0.130967,0.149323,0.133111,0.127148,0.141353,0.152092,0.136508,0.116241,0.114326,0.120227,0.119342,9,Yes
LibrarySort,sorted,10000,5632,2.13864,2.12751,2.37756,1.81582,2.34019,1.79156,1.97834,2.49029,1.88748,2.45683,2.12081,13,Yes
LibrarySort,sorted,100000,24900,18.6308,21.6882,18.4367,17.9444,18.3729,18.8771,17.9554,18.6782,17.2644,19.3558,17.7352,16,Yes
LibrarySort,random,1000,3728,1.92809,1.88583,2.01821,2.12381,1.8347,1.83609,2.2963,1.95306,1.73592,1.82551,1.77149,9,Yes
LibrarySort,random,10000,5084,188.992,170.603,179.873,197.822,202.566,218.135,221.341,181.927,172.193,172.048,173.411,13,Yes
LibrarySort,random,100000,17364,15931.6,15259.6,16388.8,15146.3,16423.5,14582.7,17116.7,15394.6,16465.1,15759.2,16779.9,16,Yes
LibrarySort,reverse,1000,3484,3.23971,3.62694,3.15297,3.08826,3.29791,3.14597,3.17012,3.1433,3.32804,3.15808,3.28552,9,Yes
LibrarySort,reverse,10000,5612,351.031,391.187,339.021,366.319,381.494,374.833,361.45,319.616,325.262,332.073,319.058,13,Yes
LibrarySort,reverse,100000,24880,31562.8,30383.2,31377,31010.3,31455.1,31663.8,31974.5,31392,32023.7,31571.6,32777.1,16,Yes
LibrarySort,partial,1000,3636,1.10929,1.08457,1.08075,1.34424,1.11973,1.06445,1.04197,1.06922,1.03108,1.13437,1.12257,9,Yes
LibrarySort,partial,10000,4964,82.0679,97.31,84.4913,84.7632,78.0436,78.7864,77.1353,81.897,76.1562,80.2801,81.8163,13,Yes
LibrarySort,partial,100000,18060,8089.65,8205.79,8538.88,7299.89,8548.91,8555.22,8490.82,6775.07,8212.09,8274.46,7995.34,16,Yes
