Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
tim_sort,sorted,1000,3472,3.71099,3.69397,3.70865,3.58554,4.42748,3.43687,3.55905,3.73055,3.85383,3.54196,3.57201,Yes
tim_sort,sorted,10000,5540,64.2719,66.1368,65.5615,64.2745,65.857,62.9602,64.0187,63.7193,62.1166,64.9204,63.1543,Yes
tim_sort,sorted,100000,24384,942.449,951.444,931.857,1011.91,867.764,1022.37,942.26,991.668,898.363,878.99,927.868,Yes
tim_sort,random,1000,3572,3.92744,4.01613,3.88879,3.4013,4.0381,4.95512,3.56322,3.75512,3.64861,4.50384,3.5042,Yes
tim_sort,random,10000,5032,71.0502,70.965,70.9715,73.0143,73.8304,73.207,72.287,76.5705,69.08,66.1006,64.476,Yes
tim_sort,random,100000,17328,934.748,928.064,935.307,983.216,939.564,929.092,927.697,985.486,920.583,888.086,910.388,Yes
tim_sort,reverse,1000,3584,3.56965,3.65863,3.67204,3.25289,3.25176,3.35455,4.48588,3.38726,3.44833,3.86363,3.32156,Yes
tim_sort,reverse,10000,5632,68.2567,61.2129,62.3786,64.5609,67.1902,68.2823,70.2427,72.009,72.1367,72.3714,72.1826,Yes
tim_sort,reverse,100000,24476,974.718,958.292,1053.01,928.25,1051.38,941.813,956,973.734,1084.77,887.547,912.384,Yes
tim_sort,partial,1000,3820,3.41324,3.62256,3.3625,3.37211,3.70468,3.35942,3.44591,3.37211,3.50857,3.12888,3.25565,Yes
tim_sort,partial,10000,5028,61.2459,63.7813,64.8617,60.1376,63.128,64.8546,59.9935,56.1298,57.1996,58.8406,63.5325,Yes
tim_sort,partial,100000,18336,936.972,990.833,912.976,978.707,994.647,993.696,857.722,871.356,876.274,992.691,900.816,Yes
