Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
heap_sort,sorted,1000,3900,0.243836,0.241311,0.230955,0.227901,0.222812,0.258002,0.230458,0.257739,0.272298,0.242802,0.254083,Yes
heap_sort,sorted,10000,5748,3.95063,4.2529,3.2092,4.95946,4.22476,5.17295,3.43468,3.88363,3.36199,3.80944,3.1973,Yes
heap_sort,sorted,100000,24464,43.2156,43.6247,45.5825,38.978,45.9459,43.0197,41.1083,40.3894,46.6813,44.7679,42.0579,Yes
heap_sort,random,1000,3856,0.283643,0.241538,0.27543,0.237171,0.241795,0.256719,0.248582,0.23167,0.23001,0.627834,0.245682,No
heap_sort,random,10000,4912,3.66081,3.9969,3.39206,3.33482,3.40382,3.49181,3.49693,3.41808,4.96786,3.13688,3.96894,No
heap_sort,random,100000,17336,45.5318,50.4283,44.0178,44.642,42.0209,45.8926,48.7797,47.8114,46.3164,43.2777,42.1308,No
heap_sort,reverse,1000,3760,0.210199,0.220173,0.204796,0.213389,0.202309,0.215635,0.199679,0.200843,0.205342,0.220499,0.21933,Yes
heap_sort,reverse,10000,5608,3.08433,3.27544,2.74389,2.85894,2.8677,2.86443,2.98704,3.15266,3.38542,3.26414,3.44363,Yes
heap_sort,reverse,100000,24320,38.9167,41.301,36.2477,39.7038,37.2479,41.3173,38.3249,38.7733,37.0702,39.3933,39.7878,Yes
heap_sort,partial,1000,3832,0.232661,0.227064,0.266993,0.232953,0.221069,0.227353,0.232264,0.227563,0.252275,0.222244,0.216829,No
heap_sort,partial,10000,5152,3.59278,3.30039,3.43858,3.62433,3.46602,3.76135,3.54772,3.64149,3.79137,3.62768,3.72886,No
heap_sort,partial,100000,18316,44.6676,45.8308,41.3263,43.6003,42.2707,41.6455,43.2793,46.5362,48.1228,44.8791,49.1848,No
