Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
insertion_sort,sorted,1000,3840,0.0061763,0.006127,0.007372,0.005885,0.007751,0.006198,0.005477,0.005369,0.00564,0.005586,0.006358,Yes
insertion_sort,sorted,10000,5688,0.0551251,0.050025,0.051666,0.067521,0.058475,0.058214,0.050202,0.054324,0.053203,0.055035,0.052586,Yes
insertion_sort,sorted,100000,24408,0.552066,0.517423,0.501707,0.564972,0.548593,0.562312,0.540632,0.698295,0.499378,0.519965,0.567382,Yes
insertion_sort,random,1000,3848,1.31658,1.20411,1.27146,1.21922,1.26042,1.29899,1.49826,1.42694,1.37073,1.34457,1.27116,Yes
insertion_sort,random,10000,4904,138.289,137.554,132.665,135.291,136.047,139.093,148.539,143.255,141.625,135.812,133.004,Yes
insertion_sort,random,100000,17232,13495.3,14044.6,13059.5,14105.1,12482,13844.2,14127.7,12557.9,14066.6,12734.6,13931,Yes
insertion_sort,reverse,1000,3900,2.85429,2.65534,2.58268,2.50834,2.48493,2.9084,3.57251,2.83297,3.45811,2.7351,2.80452,Yes
insertion_sort,reverse,10000,5748,281.778,287.711,279.709,273.764,268.429,264.879,284.683,306.982,297.437,285.257,268.931,Yes
insertion_sort,reverse,100000,24464,27435.8,26576.6,27101.6,26826.3,26755,27073.8,29246,27547.6,27697.6,27563.2,27970.6,Yes
insertion_sort,partial,1000,3864,0.613826,0.673917,0.601402,0.613915,0.578497,0.599913,0.617967,0.668713,0.565611,0.592649,0.625681,Yes
insertion_sort,partial,10000,5184,70.4452,72.4045,68.6218,69.9627,75.0982,71.8981,71.5885,69.9444,67.8153,67.6353,69.4836,Yes
insertion_sort,partial,100000,18348,6957.35,7295.37,5902.49,7433.55,7228.85,7217.33,7226.05,5948.07,7181.15,7216.12,6924.49,Yes
