Algorithm,InputType,Size,Memory(KB),Time(ms),Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Stable
quick_sort,sorted,1000,3840,7.82666,8.19143,7.85482,7.72182,7.59995,7.64926,7.69476,7.7483,7.7515,7.79541,8.25937,Yes
quick_sort,sorted,10000,5952,718.735,737.825,735.635,708.844,710.753,700.988,747.902,715.624,707.989,716.98,704.811,Yes
quick_sort,sorted,100000,29092,74564.8,74368.3,73260.9,74711.1,73759.3,73339.2,75825.3,75071.6,76194,73854.7,75263.9,Yes
quick_sort,random,1000,3848,0.232601,0.237929,0.196888,0.251349,0.257338,0.31141,0.198235,0.184715,0.276627,0.208801,0.202716,No
quick_sort,random,10000,4904,2.60814,2.52196,2.78016,2.77799,2.44293,2.55648,2.48933,2.83465,2.71796,2.44514,2.51485,No
quick_sort,random,100000,17324,29.0865,29.414,28.1552,32.1291,30.159,29.022,27.4504,30.3206,30.1134,27.9742,26.1269,No
quick_sort,reverse,1000,3864,4.35363,4.78378,4.2088,4.21551,4.32078,4.1588,4.48053,4.20434,4.25299,4.69467,4.21611,Yes
quick_sort,reverse,10000,5976,434.3,429.885,451.706,463.642,422.97,441.625,482.832,428.685,393.82,404.444,423.391,Yes
quick_sort,reverse,100000,29112,42202.5,41469.5,43341.8,42289.4,42521.4,42672.7,42717.3,40920.6,42736.7,42545.4,40810.7,Yes
quick_sort,partial,1000,3820,0.215393,0.462463,0.154121,0.170518,0.180352,0.194139,0.172425,0.162515,0.189283,0.17333,0.294782,No
quick_sort,partial,10000,5140,2.78475,3.16883,3.44431,2.28246,3.7973,2.8862,2.27119,2.23958,2.33125,2.91093,2.5155,No
quick_sort,partial,100000,18296,33.1208,30.9697,27.9683,32.9843,32.2019,35.3773,34.4675,32.1878,34.8231,35.4509,34.7772,No
